OBRA SOCIAL;COD.;
UNION PERSONAL (PLANES MONOT.-SERVICIO DOMEST.  Y PMO);7502;
LUZ Y FUERZA ;7564;
IMAGEN EN SALUD (IMESA) -OSEMM OS Empleados Marina Mercante;7629;
OSER NEONATALES ;7636;
PREVENCIÒN SALUD;7674;
OSPACARP  ;7715;
OSECAC SERMEX   FERTILIZACION ;7784;
IMAGEN EN SALUD (IMESA) – OSPICA O Social Personal de la Industria de la Carne;7825;
OSUTHGRA  – NATIVUS (Gastronómicos) Carga Viral;7870;
OSUTHGRA  –  NATIVUS  (Gastronómicos);7904;
OSUTHGRA  – NATIVUS (Gastronómicos) Monotributistas;7966;
INTEGRAL SALUD PLAN ROBLE;7973;
OSUOMRA     (U.O.M.);8008;
OSTCARA;8060;
OSTCARA ;8077;
OSPEGAP;8084;
ITER OSPLAD;8118;
IMAGEN EN SALUD (IMESA) OSTV OSTViales Ambulatorio;8266;
INTEGRAL SALUD OSSIMRA PLAN ALAMO ;8417;
INTEGRAL SALUD OSSIMRA PLAN ALAMO PLUS;8417;
O.S DE FUTBOLISTAS ;8462;
BRAMED MEDICINA PRIV.  AMBULATORIO;8606;
OSPECON Naturales ;8682;
OSPECON Monotributista;8699;
 Osseg Integ y Adherente Obligatorio  Ambulatorio ;8709;
VISITAR- OSSEG ( Plan Básico- Salud y Especial) ;8723;
Osseg Integ y Adherente Voluntario  Ambulatorio ;8747;
IMAGEN EN SALUD (IMESA)  – SOMU O.S DEL PERSONAL Ambulatorio ;8761;
OSPIA ;8785;
VISITAR-  Plan Básico Global ;8936;
AMSTERDAM   SALUD  SA Ambulatorio ;8943;
AMSTERDAM   SALUD  Re facturación;8967;
OSSEG ADHERENTE ;9016;
VISITAR-  OSPOCE PLAN BASICO ;9023;
SISMED LITORAL - OSPSIP  O.S del Personal de Seguridad Comercial, Industrial E Investigaciones Privadas ;9078;
SISMED LITORAL – OSETYA O.S  de Empleados  Textiles y Afines Ambulatorio ;9157;
OSVVRA- ANDAR ;9171;
OSVVRA-  ANDAR;9188;
OSSACRA ;9195;
SANOS TAC NATIVUS;9212;
OSFEDECAMARAS;9250;
OSFEDECAMARAS;9267;
OSTPCPHyARA-  PASTELEROS ;9298;
OSPEDYC ;9315;
VISITAR-   OSPACA  CAPITA  PLAN BASICO ;9339;
VISITAR-    AVALIAN PLAN  BASICO ;9353;
ENSALUD   - OSJVYF ;9391;
; ;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
 ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
 ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
 ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
  ;;
;;
;;
;;
 ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
                                       ;;
                                       ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
.;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
